#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-10-16T20:24:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bc648c42111	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&
#-c.eq=J2000
#-c.r=  360
#-c.u=deg
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=FK5
#-out=RAJ2000
#-out=DEJ2000
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|DEJ2000|name
 |"h:m:s"|"d:m:s"|
----|------------|------------|--------------------
 904|00 01 35.659|-77 03 56.56|
1630|00 01 57.631|-06 00 50.70|
 905|00 03 44.391|-17 20 09.59|
1001|00 04 41.294|-71 26 12.84|
1002|00 05 20.144|-05 42 27.41|
1003|00 06 50.100|-23 06 27.18|
   1|00 08 23.265|+29 05 25.58|ALPHERATZ
   2|00 09 10.695|+59 08 59.18|CAPH
   3|00 09 24.659|-45 44 50.79|
   4|00 10 19.257|+46 04 20.21|
   5|00 11 34.437|-27 47 59.12|
   6|00 11 44.014|-35 07 59.17|
1655|00 12 33.926|-88 21 46.56|
   7|00 13 14.154|+15 11 00.80|ALGENIB
1004|00 14 36.169|+20 12 24.06|
1005|00 18 19.666|+36 47 06.92|
1006|00 18 38.264|+31 31 01.96|
   9|00 19 25.674|-08 49 26.14|
1007|00 20 02.973|-17 42 01.67|
  10|00 20 04.251|-64 52 29.25|
1008|00 20 35.867|+08 11 24.86|
1009|00 21 07.277|+37 58 06.95|
1010|00 25 24.213|+01 56 22.71|
  11|00 25 45.056|-77 15 15.40|
  12|00 26 17.030|-42 18 21.81|ANKAA
1011|00 28 00.560|-11 39 31.74|
1012|00 28 12.706|+16 26 42.16|
  13|00 30 02.362|-03 57 26.39|
  14|00 30 22.661|-23 47 15.72|
  15|00 31 24.988|-48 48 12.67|
  16|00 32 59.982|+62 55 54.40|
1013|00 33 41.051|-29 33 29.98|
1014|00 34 27.834|-52 22 23.32|
  18|00 36 52.858|+33 43 09.63|
  17|00 36 58.291|+53 53 48.92|
  19|00 38 33.350|+29 18 42.30|
  20|00 39 19.697|+30 51 39.43|
  21|00 40 30.450|+56 32 14.46|SCHEDAR
1015|00 41 19.577|-46 05 06.01|
1016|00 42 37.532|-36 01 19.88|
  23|00 43 21.223|-57 27 47.05|
  22|00 43 35.372|-17 59 11.82|DIPHDA; DENEB KAITOS
  26|00 44 12.095|-38 25 18.28|
  25|00 44 43.524|+48 17 03.73|
1017|00 44 57.061|-42 40 35.90|
  24|00 45 39.044|+74 59 16.93|
  27|00 47 20.330|+24 16 01.76|
1018|00 48 01.075|-21 43 21.09|
1019|00 48 22.980|+05 16 49.90|96 G  PSC
  31|00 48 35.395|-74 55 24.25|
  28|00 48 40.950|+07 35 06.14|
1020|00 48 58.705|+16 56 26.19|
1021|00 49 48.849|+41 04 44.07|
  30|00 50 07.596|-10 38 39.54|
  29|00 50 43.603|+64 14 51.15|
1022|00 53 00.498|-01 08 39.47|
